ID_games;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;ID_publisher
8418;41.49;29.02;3.77;8.46;82.74;1
8419;29.08;3.58;6.81;0.77;40.24;2
8420;15.85;12.88;3.79;3.31;35.82;3
8421;15.75;11.01;3.28;2.96;33;4
8422;11.27;8.89;10.22;1;31.37;5
8423;23.2;2.26;4.22;0.58;30.26;6
8424;11.38;9.23;6.5;2.9;30.01;7
8425;14.03;9.2;2.93;2.85;29.02;8
8426;14.59;7.06;4.7;2.26;28.62;9
8427;26.93;0.63;0.28;0.47;28.31;10
8428;9.07;11;1.93;2.75;24.76;11
8429;9.81;7.57;4.13;1.92;23.42;12
8430;9;6.18;7.2;0.71;23.1;13
8431;8.94;8.03;3.6;2.15;22.72;14
8432;9.09;8.59;2.53;1.79;22;15
8433;14.97;4.94;0.24;1.67;21.82;16
8434;7.01;9.27;0.97;4.14;21.4;17
8435;9.43;0.4;0.41;10.57;20.81;18
8436;12.78;3.75;3.54;0.55;20.61;19
8437;4.75;9.26;4.16;2.05;20.22;20
8438;6.42;4.52;6.04;1.37;18.36;21
8439;10.83;2.71;4.18;0.42;18.14;22
8440;9.54;3.44;3.84;0.46;17.28;23
8441;9.63;5.31;0.06;1.38;16.38;24
8442;8.41;5.49;0.47;1.78;16.15;25
8443;6.06;3.9;5.38;0.5;15.85;26
8444;5.57;3.28;5.65;0.82;15.32;27
8445;3.44;5.36;5.32;1.18;15.3;28
8446;6.85;5.09;1.87;1.16;14.98;29
8447;9.03;4.28;0.13;1.32;14.76;30
8448;5.89;5.04;3.12;0.59;14.64;31
8449;9.67;3.73;0.11;1.13;14.64;32
8450;5.17;4.05;4.34;0.79;14.35;33
8451;5.77;5.81;0.35;2.31;14.24;34
8452;4.99;5.88;0.65;2.52;14.03;35
8453;8.25;4.3;0.07;1.12;13.73;36
8454;8.52;3.63;0.08;1.29;13.51;37
8455;5.54;5.82;0.49;1.62;13.46;38
8456;6.99;4.51;0.3;1.3;13.1;39
8457;6.75;2.61;2.66;1.02;13.04;40
8458;5.98;4.44;0.48;1.83;12.73;41
8459;2.55;3.52;5.33;0.88;12.27;42
8460;4.74;3.91;2.67;0.89;12.21;43
8461;7.97;2.83;0.13;1.21;12.14;44
8462;3.8;5.81;0.36;2.02;11.98;45
8463;4.4;2.77;3.96;0.77;11.9;46
8464;6.91;2.85;1.91;0.23;11.89;47
8465;3.01;0.01;1.1;7.53;11.66;48
8466;6.16;3.4;1.2;0.76;11.52;49
8467;4.23;3.37;3.08;0.65;11.33;50
8468;6.16;2.04;2.69;0.29;11.18;51
8469;6.76;3.1;0.14;1.03;11.02;52
8470;4.02;3.87;2.54;0.52;10.95;53
8471;4.89;2.99;2.13;0.78;10.79;54
8472;2.96;4.88;0.81;2.12;10.77;55
8473;4.99;3.69;0.38;1.63;10.69;56
8474;4.76;3.76;0.44;1.62;10.57;57
8475;5.99;2.15;2.12;0.29;10.55;58
8476;4.34;2.65;3.15;0.35;10.49;59
8477;5.08;3.11;1.25;0.98;10.42;60
8478;6.05;3.15;0;1.07;10.26;61
